data_hora_analise,total_de_skus,total_sku_com_mais_de_um_ano_de_vendas,percentual_sku_com_mais_de_um_ano_de_vendas,total_sku_com_ate_um_ano_de_vendas,percentual_sku_com_ate_um_ano_de_vendas,total_sku_com_estoque_zero,percentual_sku_com_estoque_zero,total_sku_com_estoque_positivo,percentual_sku_com_estoque_positivo,custo_total_estoque_positivo,total_sku_com_estoque_negativo,percentual_sku_com_estoque_negativo,custo_total_estoque_negativo,total_sku_inativo_com_estoque_maior_que_zero,percentual_sku_inativo_com_estoque_maior_que_zero,custo_total_inativo_com_estoque_maior_que_zero,total_sku_inativo_com_estoque_menor_ou_igual_zero,percentual_sku_inativo_com_estoque_menor_ou_igual_zero,total_sku_ativo_com_estoque_maior_que_zero,percentual_sku_ativo_com_estoque_maior_que_zero,custo_total_ativo_com_estoque_maior_que_zero,total_sku_ativo_com_estoque_menor_ou_igual_zero,percentual_sku_ativo_com_estoque_menor_ou_igual_zero,total_sku_nao_comercializado_com_estoque_maior_que_zero,percentual_sku_nao_comercializado_com_estoque_maior_que_zero,custo_total_nao_comercializado_com_estoque_maior_que_zero,total_sku_nao_comercializado_com_estoque_menor_ou_igual_zero,percentual_sku_nao_comercializado_com_estoque_menor_ou_igual_zero,total_sku_verificados,total_sku_consistentes,percentual_sku_consistentes,total_sku_inconsistentes,percentual_sku_inconsistentes,total_sku_grupo_a,total_sku_grupo_b,total_sku_grupo_c,percentual_sku_grupo_a,percentual_sku_grupo_b,percentual_sku_grupo_c,total_venda_grupo_a,total_venda_grupo_b,total_venda_grupo_c,percentual_venda_grupo_a,percentual_venda_grupo_b,percentual_venda_grupo_c,cobertura_em_dias_grupo_a,cobertura_em_dias_grupo_b,cobertura_em_dias_grupo_c
2025-06-04 17:51:12,16269,11814,72.61663286004057,2229,13.700903558915728,3106,19.091523756838157,9581,58.891142663962135,3094307.17,3582,22.017333579199704,1204728.13,4716,28.98764521482574,504452.5,3609,22.183293380047942,3435,21.1137746634704,2436333.67,2283,14.032823160612208,1430,8.78972278566599,153521.0,796,4.892740795377712,16281,10578,64.97143910079234,5703,35.02856089920766,486,865,1345,18.026706231454007,32.08456973293769,49.888724035608305,1344868.9200000002,252076.64,84164.93999999999,79.99884124214323,14.994650262430698,5.006508495426088,49.91305939416125,232.6708562450903,560.8636363636364
2025-06-05 15:57:23,16269,11818,72.64121949720327,2230,13.707050218206405,3106,19.091523756838157,9578,58.87270268609011,3093532.0700000003,3585,22.03577355707173,1211050.13,4720,29.01223185198845,504912.5,3614,22.214026676501323,3431,21.0891880263077,2439018.57,2283,14.032823160612208,1427,8.771282807793963,149601.0,794,4.880447476796361,16281,10578,64.97143910079234,5703,35.02856089920766,487,862,1349,18.050407709414383,31.94959229058562,50.0,1347101.8199999998,252471.43,84308.04,79.99980925021146,14.99342213131901,5.006768618469536,48.59212684527064,235.19052319842052,567.2077185017026
2025-06-06 09:15:26,16276,11821,72.62840992872943,2228,13.68886704349963,3103,19.064880806094862,9584,58.88424674367167,3094805.07,3589,22.05087245023347,1217873.13,4720,28.99975423937085,505520.4999999999,3616,22.21676087490784,3431,21.08011796510199,2437388.57,2282,14.020643892848367,1433,8.80437453919882,151896.0,794,4.878348488572131,16288,10578,64.94351669941061,5710,35.05648330058939,491,860,1342,18.23245451169699,31.93464537690308,49.83290011139992,1338274.27,250881.78,83713.94,79.99870151296096,14.9970877294535,5.004210757585531,49.51706084130709,241.3563672260612,549.5620715917746
2025-06-08 14:16:05,16279,11836,72.70716874500891,2220,13.637201302291295,3101,19.049081638921308,9583,58.867252288224094,3102347.85,3595,22.0836660728546,1228943.13,4723,29.012838626451256,505623.5,3623,22.255666810000616,3429,21.0639474169175,2443266.35,2281,14.011917193930833,1431,8.790466244855336,153458.0,792,4.865163707844462,16291,10581,64.94997237738629,5710,35.05002762261371,493,864,1341,18.27279466271312,32.02372127501853,49.70348406226835,1342819.19,251735.86,83998.35,79.99859819771,14.997191033660291,5.004210768629703,48.996604717655465,257.7055937193327,516.6780821917808
2025-06-09 09:45:08,16279,11841,72.73788316235641,2218,13.624915535352294,3101,19.049081638921308,9583,58.867252288224094,3097260.95,3595,22.0836660728546,1229417.13,4728,29.04355304379876,506853.49999999994,3626,22.27409546040911,3427,21.051661649978502,2438349.45,2278,13.993488543522329,1428,8.772037594446834,152058.0,792,4.865163707844462,16291,10579,64.93769566018047,5712,35.06230433981953,497,860,1338,18.44155844155844,31.910946196660483,49.647495361781075,1323277.53,248134.89,82751.28,79.99676996901819,15.000624787014733,5.002605243967087,52.13876454789615,251.67857142857144,523.4192307692308
2025-06-10 09:05:18,16281,11844,72.74737423991155,2220,13.635526073337015,3101,19.046741600638786,9585,58.872305140961856,3098640.95,3595,22.08095325839936,1229417.13,4729,29.046127387752595,506425.49999999994,3626,22.271359253117133,3431,21.073644125053743,2442113.45,2278,13.991769547325102,1425,8.752533628155518,150102.0,792,4.864566058595909,16293,10561,64.81924752961395,5732,35.180752470386054,501,862,1333,18.583086053412465,31.973293768545997,49.44362017804154,1317566.51,247089.75,82423.24,79.99410532399924,15.001689353792576,5.004205322208188,51.94153189976897,256.46603098927295,518.6569455103607
2025-06-11 08:59:15,16281,11850,72.78422701308274,2217,13.617099686751429,3102,19.052883729500643,9580,58.84159449665254,3099889.45,3599,22.105521773846817,1246032.13,4729,29.046127387752595,506385.6,3630,22.295927768564585,3428,21.055217738468155,2444863.85,2280,14.00405380504883,1423,8.740249370431792,148640.0,791,4.858423929734046,16293,10571,64.88062358067882,5722,35.119376419321185,503,864,1327,18.67112100965108,32.071269487750556,49.25760950259836,1308442.79,245902.63,81853.64,79.96843550319606,15.028894467156096,5.0026700296478595,52.734683144885615,253.61329305135953,523.2623014335529
2025-06-12 11:01:27,16284,11858,72.81994595922377,2211,13.57774502579219,3103,19.055514615573568,9579,58.82461311717023,3099701.55,3602,22.1198722672562,1250874.13,4733,29.065340211250305,505280.6,3634,22.31638418079096,3422,21.014492753623188,2445655.95,2280,14.001473839351512,1424,8.744780152296732,148765.0,791,4.8575288626873006,16296,10561,64.8073146784487,5735,35.192685321551295,498,861,1334,18.49238767174155,31.97177868548088,49.53583364277757,1313764.85,246756.8,82246.65,79.97261999759796,15.02079142871213,5.0065885736899105,50.986475735879075,255.2347929463047,513.3065442020666
2025-06-13 09:51:33,16295,11865,72.81374654802086,2209,13.556305615219392,3106,19.06106167536054,9584,58.81558760355937,3101553.5500000003,3605,22.123350721080087,1259973.13,4737,29.07026695305308,506424.5,3637,22.319729978521018,3419,20.981896287204663,2448165.0500000003,2281,13.998158944461492,1428,8.763424363301626,146964.0,793,4.866523473458116,16307,10568,64.80652480529834,5739,35.19347519470166,489,858,1347,18.151447661469938,31.848552338530062,50.0,1330620.95,249479.08,83202.76000000001,79.99872049754693,14.999017707413334,5.002261795039735,50.391373801916934,249.85444531864675,525.7984790874525
2025-06-14 08:39:21,16300,11871,72.8282208588957,2205,13.52760736196319,3107,19.061349693251532,9584,58.79754601226994,3166969.6500000004,3609,22.141104294478527,1263001.13,4743,29.098159509202453,508337.0999999999,3639,22.32515337423313,3411,20.92638036809816,2508805.5500000003,2283,14.006134969325156,1430,8.773006134969325,149827.0,794,4.871165644171779,16312,10561,64.74374693477195,5751,35.25625306522805,487,857,1339,18.15132314573239,31.941856131196424,49.906820723071185,1332865.06,250023.88,83336.42000000001,79.99308448888331,15.005405991420034,5.001509519696665,55.50561797752809,255.8181818181818,518.7709923664122
2025-06-16 10:38:15,16300,11885,72.91411042944786,2201,13.503067484662576,3112,19.0920245398773,9579,58.766871165644176,3157782.05,3609,22.141104294478527,1255001.13,4749,29.134969325153374,510033.1,3648,22.380368098159508,3409,20.914110429447852,2502589.95,2280,13.987730061349692,1421,8.717791411042946,145159.0,793,4.865030674846626,16312,10566,64.77439921530161,5746,35.225600784698386,486,859,1337,18.120805369127517,32.028337061894106,49.85085756897838,1323055.42,248396.77999999997,82775.39,79.9802535030866,15.015876987035382,5.0038695098780215,56.99174727127518,262.3855755894591,531.1094224924012
2025-06-17 09:00:04,16303,11887,72.91296080475986,2201,13.500582714837762,3114,19.10077899773048,9578,58.74992332699504,3166941.95,3611,22.14929767527449,1264688.13,4751,29.141875728393547,509657.1,3649,22.382383610378454,3406,20.89186039379255,2503425.85,2282,13.997423787033062,1421,8.71618720480893,153859.0,794,4.870269275593449,16315,10567,64.76861783634692,5748,35.23138216365308,482,861,1343,17.944899478778854,32.05510052122115,50.0,1334077.06,250197.90999999997,83505.72,79.99115639119194,15.001847155335511,5.006996453472548,55.112628591699185,263.68390013760563,528.216704288939
2025-06-18 08:57:20,16307,11897,72.9563990924143,2197,13.47274176733918,3112,19.08382903047771,9577,58.729380020849945,3174879.55,3618,22.18679094867235,1271113.13,4758,29.17765376832035,511219.1,3656,22.41981970932728,3399,20.84380940700313,2516963.4499999997,2281,13.987857975102717,1420,8.707916845526462,146697.0,793,4.8629422947200585,16319,10571,64.77725350818065,5748,35.22274649181935,487,863,1339,18.11082186686501,32.093715135738194,49.7954629973968,1322303.48,247980.03,82778.81,79.99114516142379,15.001251132504189,5.007603706072013,58.52131205051746,267.4772996446901,531.7716236722307
2025-06-20 11:16:21,16309,11899,72.95971549451224,2206,13.526273836531978,3105,19.038567662027106,9575,58.70991477098535,3126200.3600000003,3629,22.251517566987552,1284284.03,4766,29.22312833404869,512944.1,3661,22.44772824820651,3395,20.816726960573916,2472459.26,2283,13.998405788215097,1414,8.670059476362745,140797.0,790,4.843951192593047,16321,10561,64.708044850193,5760,35.291955149806995,487,870,1342,18.043719896257873,32.23416080029641,49.72211930344572,1324111.7200000002,248536.77,82776.55,79.98620825501105,15.013471706335912,5.000320038653033,53.67891204521371,279.5438596491228,506.7174990468928
2025-06-23 09:47:06,16310,11921,73.0901287553648,2196,13.464132434089516,3099,19.000613120784795,9575,58.70631514408339,3103456.17,3636,22.293071735131814,1292635.03,4774,29.270386266094423,514371.1,3669,22.49540159411404,3397,20.82771305947272,2454160.07,2277,13.960760269773145,1404,8.608215818516248,134925.0,789,4.83752299202943,16322,10553,64.65506678103173,5769,35.344933218968265,484,871,1347,17.912657290895634,32.23538119911177,49.8519615099926,1311975.7599999998,246470.54,82083.23000000001,79.97270003423833,15.023840503498892,5.003459462262774,51.693655428723126,279.1145935357493,508.6400307337687
2025-06-24 08:58:19,16310,11925,73.11465358675659,2193,13.445738810545675,3103,19.02513795217658,9566,58.651134273451866,3085560.17,3641,22.32372777437155,1304103.83,4773,29.264255058246473,514106.1,3669,22.49540159411404,3389,20.778663396689147,2436529.07,2287,14.022072348252609,1404,8.608215818516248,134925.0,788,4.831391784181484,16322,10560,64.69795368214679,5762,35.30204631785321,484,870,1347,17.919289152165867,32.21029248426508,49.87041836356904,1309804.85,246029.31,81931.75,79.9750954640398,15.022251256896658,5.00265327906355,50.0877808988764,278.27094474153296,504.71061709467233
2025-06-25 09:11:36,16310,11932,73.1575720416922,2189,13.421213979153892,3103,19.02513795217658,9566,58.651134273451866,3085738.17,3641,22.32372777437155,1304363.83,4776,29.282648681790313,514841.1,3671,22.507664009809933,3389,20.778663396689147,2436284.07,2285,14.009809932556712,1401,8.58982219497241,134613.0,788,4.831391784181484,16322,10552,64.64894008087244,5770,35.351059919127565,485,869,1346,17.962962962962965,32.18518518518518,49.851851851851855,1310423.58,245948.4,81957.23,79.98536386957295,15.012147650105073,5.002488480321974,51.291079812206576,274.14639010769844,516.958349254872
2025-06-26 09:58:35,16315,11935,73.15353968740423,2191,13.429359485136375,3098,18.98866074164879,9573,58.67606497088569,3084168.17,3644,22.335274287465523,1312378.83,4779,29.29206251915415,517791.1,3674,22.51915415262029,3391,20.784554091327003,2431704.0700000003,2282,13.987128409439167,1403,8.599448360404535,134673.0,786,4.817652467054858,16327,10552,64.62914191217003,5775,35.37085808782997,485,871,1343,17.969618377176733,32.27121155983698,49.75917006298629,1309869.52,246080.94,81959.48000000001,79.9720111595391,15.024082459625346,5.003906380835567,53.19491305476252,275.03871351995235,502.4015444015444
2025-06-27 10:38:19,16319,11946,73.2030148906183,2186,13.395428641460876,3099,18.99013419939947,9575,58.67393835406581,3087861.17,3645,22.335927446534715,1312378.8299999998,4784,29.315521784423066,518174.1,3679,22.544273546173173,3389,20.76720387278632,2433387.07,2280,13.971444328696611,1402,8.591212696856426,136300.0,785,4.810343771064404,16331,10544,64.56432551589002,5787,35.43567448410998,480,869,1341,17.843866171003718,32.30483271375464,49.85130111524164,1323355.86,248585.36,82760.17000000001,79.97550905544354,15.022974024334388,5.001516920222085,51.58211297071129,273.0194231901118,504.03435114503816
2025-06-30 09:45:57,16329,11964,73.26841815175455,2182,13.362728887255804,3097,18.9662563537265,9579,58.66250229652765,3097898.17,3653,22.37124134974585,1326142.7300000002,4790,29.33431318513075,519846.1,3685,22.567211709228975,3391,20.76673403147774,2446649.07,2280,13.962888113172884,1398,8.561455079919163,131403.0,785,4.8073978810704885,16341,10547,64.54317361238601,5794,35.45682638761399,474,866,1341,17.679970160387914,32.301380082058934,50.01864975755315,1318293.98,247595.74,82507.31,79.97429963823703,15.02039469216952,5.005305669593447,51.510384445426425,273.853591160221,509.3653846153846
2025-07-01 09:38:16,16333,11964,73.25047449947958,2185,13.377824037225247,3096,18.955488887528315,9582,58.66650339802854,3100449.37,3655,22.37800771444315,1326246.73,4790,29.327129125084184,519471.1,3684,22.55556235841548,3393,20.773893344762136,2445987.2700000005,2282,13.971713708443028,1399,8.565480928182208,134991.0,785,4.806220535112962,16345,10541,64.4906699296421,5804,35.509330070357905,470,862,1342,17.57666417352281,32.23635003739716,50.186985789080026,1321181.06,247859.16,82680.56,79.98815998428014,15.006117438323926,5.00572257739592,49.856172949794534,281.8917859243286,486.9284064665127
2025-07-02 10:14:51,16340,11971,73.26193390452876,2180,13.341493268053856,3099,18.96572827417381,9584,58.653610771113826,3103493.5700000003,3657,22.38066095471236,1333262.7299999995,4796,29.351285189718485,521913.6999999999,3691,22.58873929008568,3384,20.709914320685435,2443794.87,2280,13.953488372093023,1404,8.592411260709914,137785.0,785,4.804161566707466,16352,10545,64.48752446183953,5807,35.51247553816047,471,862,1338,17.633845001871958,32.27255709472108,50.09359790340696,1312077.2999999998,246316.34000000003,82045.59,79.98329203575555,15.015267587815492,5.001440376428939,50.92718186685704,275.36177742823435,505.95256609642297
2025-07-03 09:23:15,16341,11978,73.3002876200967,2178,13.328437672113088,3096,18.946208922342574,9585,58.65614099504314,3099942.67,3660,22.397650082614284,1335605.73,4798,29.361728168410743,523756.6999999999,3694,22.605715684474635,3387,20.72700569120617,2441167.97,2277,13.93427574811823,1400,8.56740713542623,135018.0,785,4.803867572363992,16353,10541,64.45912065064515,5812,35.54087934935485,470,861,1338,17.609591607343575,32.259273136005994,50.131135256650424,1312481.21,246261.73,82111.39,79.98767386011653,15.008140911570136,5.004185228313351,50.7220087570369,275.89728453364813,499.8924318094506
2025-07-04 09:48:14,16346,11985,73.32069007708309,2175,13.30600758595375,3094,18.92817814755903,9589,58.66266976630369,3108469.87,3663,22.409152086137283,1341554.72,4805,29.39557078184265,528625.8,3698,22.623271748439983,3381,20.68395937844121,2443359.0700000003,2276,13.923895754312982,1403,8.583139606019822,136485.0,783,4.79016273094335,16358,10541,64.43941802176305,5817,35.560581978236954,468,866,1336,17.528089887640448,32.43445692883895,50.0374531835206,1310738.14,246069.82,82040.09,79.97923541477807,15.014803843467975,5.00596074175394,50.92031124228602,276.74203696421546,500.64009198926794
2025-07-07 09:29:16,16352,12004,73.40998043052838,2171,13.276663405088062,3091,18.902886497064582,9595,58.67783757338552,3115131.0700000003,3666,22.419275929549904,1347976.62,4820,29.47651663405088,529709.7,3710,22.68835616438356,3381,20.6763698630137,2452543.37,2264,13.845401174168298,1394,8.52495107632094,132878.0,783,4.788405088062622,16364,10539,64.40356880958201,5825,35.59643119041799,468,865,1340,17.50841750841751,32.360643471754585,50.13093901982791,1311041.9,246032.18,82085.95999999999,79.98254398637,15.009649698390648,5.007806315239359,50.61174551386623,277.64912280701753,494.8453608247423
